Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
shuffled/write-self/Chunk,2.45171680691208e-4,2.444797286901316e-4,2.4628424752023146e-4,2.9006955475285906e-6,1.990298726930723e-6,4.948564419981435e-6
shuffled/write-self/Sparse,8.442145031374305e-5,8.415840661676534e-5,8.502863238636657e-5,1.2844574028550279e-6,7.29044255788853e-7,2.29206286697785e-6
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
linear/read/Map-first,4.404513241228976e-4,4.36604749157205e-4,4.4453280537863675e-4,1.3815753251300722e-5,1.2054596029621884e-5,1.5808577683967812e-5
linear/read/Cache-first,7.71939409609805e-5,7.704263852803382e-5,7.744387091945233e-5,6.513415806087503e-7,4.568995550848568e-7,1.1350318965615433e-6
linear/read/Array-first,7.107593723038012e-5,7.086476099940605e-5,7.129998211814873e-5,7.564734533511876e-7,5.997856876606776e-7,9.159850498059857e-7
linear/read/Chunk-first,1.820881798673235e-4,1.8105905683112354e-4,1.832366201133715e-4,3.684577467250839e-6,3.135595532295057e-6,4.305718745436182e-6
linear/read/Sparse-first,8.910650565740288e-5,8.885324893536807e-5,8.952460501497679e-5,1.0593535648740864e-6,7.597326177514169e-7,1.6497048488324825e-6
linear/write/Map-first,4.735660347098448e-4,4.714099832309769e-4,4.763751673166922e-4,8.156190537884123e-6,6.144991810616992e-6,1.1771860933143022e-5
linear/write/Cache-first,1.4338445226091544e-4,1.42721003928515e-4,1.4476340001675928e-4,3.005482851196577e-6,1.9696585124413578e-6,4.351321328183418e-6
linear/write/Array-first,1.337155928639676e-4,1.332858172807007e-4,1.3431434756259328e-4,1.624773759347827e-6,1.224392726357824e-6,2.3511493672712935e-6
linear/write/Chunk-first,2.529926984072058e-4,2.5178461287835203e-4,2.543369430072467e-4,4.373594491290423e-6,3.7011522578837566e-6,5.245006197544055e-6
linear/write/Sparse-first,1.434558811284424e-4,1.4293300541047893e-4,1.442807525529629e-4,2.100580687849055e-6,1.4907248826848922e-6,3.0786302498675087e-6
linear/write-self/Map,1.6092154674234415e-3,1.5932561435964415e-3,1.6331302180580107e-3,6.135952337156732e-5,4.2580567384172396e-5,1.0310648881086918e-4
linear/write-self/Cache,8.01379334947047e-5,7.94169611810656e-5,8.106285786515069e-5,2.7439928801170963e-6,2.2448721354787326e-6,3.429778771140307e-6
linear/write-self/Array,9.568862020833648e-5,9.532214911780208e-5,9.612529404240539e-5,1.3053877248185843e-6,1.0304280852160858e-6,1.7150746303715673e-6
linear/write-self/Chunk,2.5426703082407015e-4,2.533918086420163e-4,2.55342084316417e-4,3.2601603169739085e-6,2.8303184831330346e-6,3.918106686278918e-6
linear/write-self/Sparse,8.648917596425116e-5,8.62425468078006e-5,8.679150472023058e-5,8.781804493509929e-7,7.207153217103112e-7,1.1110327862474695e-6
shuffled/read/Map-first,4.393148588273713e-4,4.35388787064667e-4,4.4291298189481356e-4,1.3369227162067914e-5,1.1235752029517293e-5,1.7924112801708688e-5
shuffled/read/Cache-first,7.690536530018525e-5,7.664255322071005e-5,7.718435813100013e-5,9.254740282013047e-7,7.325432833608653e-7,1.3260356445228247e-6
shuffled/read/Array-first,7.273694266718218e-5,7.245773129230143e-5,7.302974041590316e-5,9.637798776749063e-7,8.247365502209987e-7,1.1799607437198236e-6
