Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
pos_vel/init,4.9887432177864864e-5,4.969121957110991e-5,5.0182695155558213e-5,9.70452313921239e-7,7.573526540865957e-7,1.3398952981015126e-6
pos_vel/step,6.25198421205342e-5,6.211514090383451e-5,6.297457667156209e-5,1.69501840688745e-6,1.3567388217082984e-6,2.234991844996338e-6
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
pos_vel/init,4.9812792360434545e-5,4.9584858204386636e-5,5.0111858051701274e-5,9.650180046179505e-7,7.063511476896083e-7,1.334350439304446e-6
pos_vel/step,5.997285522983231e-5,5.9828108746442803e-5,6.015530797180472e-5,6.335249260071814e-7,5.079593323305672e-7,8.014372394423365e-7
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
pos_vel/Cache/init,5.116631127661004e-5,5.0968283430473384e-5,5.141174067284899e-5,8.601218075992342e-7,6.942194845479499e-7,1.1240058428997791e-6
pos_vel/Cache/step,6.598860493627118e-5,6.56331405169876e-5,6.641248266937809e-5,1.5702065529881155e-6,1.2671294440701995e-6,1.9792960809905394e-6
pos_vel/Map/init,2.619812176696606e-4,2.595362598498044e-4,2.653818525402851e-4,1.0525324387591741e-5,8.969201512497622e-6,1.3470653295404329e-5
pos_vel/Map/step,3.989942139562858e-4,3.967298576725389e-4,4.020181908315005e-4,1.0773291214470085e-5,8.143679475928112e-6,1.4180167043743878e-5
pos_vel/ArrayMapB/init,7.710104092289323e-5,7.66204670877248e-5,7.759087343572877e-5,1.915914954863517e-6,1.6648316010172529e-6,2.196816157898067e-6
pos_vel/ArrayMapB/step,8.47735047761366e-5,8.422960351529943e-5,8.540535875235444e-5,2.2853415814296802e-6,1.9517535852870406e-6,2.6620943691265604e-6
pos_vel/ArrayMapU/init,9.066423346260058e-5,9.0187677891424e-5,9.128553058422248e-5,2.1522036858747792e-6,1.8119150645735808e-6,2.6619707027173208e-6
pos_vel/ArrayMapU/step,1.0229585615391508e-4,1.0186008087297358e-4,1.0302070766336774e-4,2.1017839913686927e-6,1.4885744500758875e-6,3.006690180063865e-6
pos_vel/ChunkStoreB/init,9.663730776557357e-5,9.639645242498054e-5,9.698855839377234e-5,1.0843402975459698e-6,8.348171803495209e-7,1.5914083945088892e-6
pos_vel/ChunkStoreB/step,1.3996627987485514e-4,1.396247900241033e-4,1.4036609041891663e-4,1.4297925458150606e-6,1.180169843700357e-6,1.803144969497326e-6
pos_vel/SparseStoreB/init,1.0997347222311568e-4,1.0937884119946976e-4,1.1082784284832283e-4,2.728900468923845e-6,1.7993336167305442e-6,3.677838905425637e-6
pos_vel/SparseStoreB/step,1.2319389519032224e-4,1.2211644770471157e-4,1.245147596185403e-4,4.570776552678128e-6,3.652559518987275e-6,5.700782557568556e-6
pos_vel/SparseStoreU/init,1.3776595188295308e-4,1.3714244981397733e-4,1.3858702129735867e-4,2.6405886711510364e-6,2.187554329506756e-6,3.1981984723475106e-6
pos_vel/SparseStoreU/step,1.5172497334805369e-4,1.5132550195061658e-4,1.5279912835146844e-4,2.3392192260552016e-6,1.3126795085955113e-6,4.384644054104505e-6
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
pos_vel/Cache/init,5.003789165229246e-5,4.9788447662540296e-5,5.037752574413506e-5,1.0980154283719071e-6,8.851448487545784e-7,1.3866803093058238e-6
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
pos_vel/Cache/init,4.9654117989378714e-5,4.946077243298872e-5,4.9984521262514816e-5,9.108131412800136e-7,6.477677378915923e-7,1.4281573297987775e-6
